------------------------------OpenMP------------------------
integrate_omp_seq
         T	      Time	    Result	  Speedup
         7	  0.186354	  0.666667	   4.09581
         8	  0.132057	  0.666667	   5.77987
         9	  0.112661	  0.666667	   6.77491
        10	  0.153025	  0.666667	    4.9879
        11	  0.137729	  0.666667	   5.54184
        12	  0.133142	  0.666667	   5.73277
        13	  0.164464	  0.666666	   4.64095
        14	  0.162614	  0.666667	   4.69377
        15	  0.132833	  0.666666	   5.74608
        16	  0.107925	  0.666667	   7.07224
        17	  0.101292	  0.666666	   7.53532
        18	 0.0856496	  0.666666	   8.91156
        19	 0.0807638	  0.666666	   9.45066
        20	 0.0718917	  0.666667	    10.617
        21	 0.0686439	  0.666666	   11.1193
        22	 0.0672171	  0.666666	   11.3553
        23	 0.0649217	  0.666667	   11.7568
        24	 0.0614793	  0.666666	   12.4151
        25	 0.0641673	  0.666667	    11.895
        26	 0.0618927	  0.666666	   12.3322
        27	 0.0581163	  0.666666	   13.1335
        28	 0.0552926	  0.666666	   13.8042
        29	 0.0517082	  0.666666	   14.7611
        30	 0.0504017	  0.666666	   15.1437
        31	 0.0484455	  0.666666	   15.7553
        32	 0.0479416	  0.666667	   15.9209
        33	 0.0466262	  0.666667	     16.37
        34	 0.0441323	  0.666666	   17.2951
        35	 0.0439301	  0.666666	   17.3747
        36	 0.0430622	  0.666666	   17.7249
        37	 0.0652468	  0.666666	   11.6982
        38	 0.0683632	  0.666666	    11.165
        39	 0.0783049	  0.666666	   9.74743
        40	 0.0764293	  0.666667	   9.98664
        41	 0.0744099	  0.666666	   10.2577
        42	 0.0727625	  0.666666	   10.4899
        43	 0.0735365	  0.666666	   10.3795
        44	 0.0709812	  0.666666	   10.7532
        45	 0.0657255	  0.666666	    11.613
        46	 0.0657012	  0.666667	   11.6173
        47	 0.0602185	  0.666666	    12.675
        48	 0.0617656	  0.666666	   12.3575
